Cell	HSL [nM]	File	sp|GFP_AEQVI|cRAP|	sp|P00579|RPOD_ECOLI	sp|P05055|PNP_ECOLI	sp|P06968|DUT_ECOLI	sp|P06992|RSMA_ECOLI	sp|P07012|RF2_ECOLI	sp|P07395|SYFB_ECOLI	sp|P08622|DNAJ_ECOLI	sp|P09372|GRPE_ECOLI	sp|P0A6F5|CH60_ECOLI	sp|P0A6F9|CH10_ECOLI	sp|P0A6N4|EFP_ECOLI	sp|P0A6P1|EFTS_ECOLI	sp|P0A6U5|RSMG_ECOLI	sp|P0A6Y8|DNAK_ECOLI	sp|P0A705|IF2_ECOLI	sp|P0A707|IF3_ECOLI	sp|P0A7G2|RBFA_ECOLI	sp|P0A7I0|RF1_ECOLI	sp|P0A7I4|RF3_ECOLI	sp|P0A7X6|RIMM_ECOLI	sp|P0A7Y0|RNC_ECOLI	sp|P0A7Z4|RPOA_ECOLI	sp|P0A800|RPOZ_ECOLI	sp|P0A805|RRF_ECOLI	sp|P0A832|SSRP_ECOLI	sp|P0A850|TIG_ECOLI	sp|P0A898|YBEY_ECOLI	sp|P0A8I8|RLMH_ECOLI	sp|P0A8J8|RHLB_ECOLI	sp|P0A8R0|RRAA_ECOLI	sp|P0A8T7|RPOC_ECOLI	sp|P0A8V2|RPOB_ECOLI	sp|P0A8X0|YJGA_ECOLI	sp|P0A948|RIMJ_ECOLI	sp|P0A968|CSPD_ECOLI	sp|P0A9L3|FKBB_ECOLI	sp|P0A9P6|DEAD_ECOLI	sp|P0A9X9|CSPA_ECOLI	sp|P0A9Y6|CSPC_ECOLI	sp|P0AA39|RLUC_ECOLI	sp|P0AA43|RSUA_ECOLI	sp|P0ADK8|YIBL_ECOLI	sp|P0ADR6|RLMM_ECOLI	sp|P0AEI4|RIMO_ECOLI	sp|P0AFF6|NUSA_ECOLI	sp|P0AFX0|HPF_ECOLI	sp|P0AGD7|SRP54_ECOLI	sp|P0AGK4|YHBY_ECOLI	sp|P0AGL7|RSME_ECOLI	sp|P0C0R7|RLME_ECOLI	sp|P0CE47|EFTU1_ECOLI	sp|P0CG19|RNPH_ECOLI	sp|P21507|SRMB_ECOLI	sp|P21513|RNE_ECOLI	sp|P30850|RNB_ECOLI	sp|P33643|RLUD_ECOLI	sp|P35340|AHPF_ECOLI	sp|P36979|RLMN_ECOLI	sp|P37765|RLUB_ECOLI	sp|P38521|YGGL_ECOLI	sp|P39286|RSGA_ECOLI	sp|P39406|RSMC_ECOLI	sp|P42641|OBG_ECOLI	sp|P45523|FKBA_ECOLI	sp|P45748|TSAC_ECOLI	sp|P46130|YBHC_ECOLI	sp|P69222|IF1_ECOLI	sp|P75876|RLMI_ECOLI	sp|P77748|YDIJ_ECOLI	sp|Q46868|YQIC_ECOLI
JD321	1.25	PLB_nSW_77.wiff.zip	0.063354187	0.989888715	1.411662991	0.740654285	1.240508481	0.967393407	1.122607893	1.796721607	1.90837549	2.082808456	1.98556045	1.049869248	0.982268799	1.081024062	2.503608085	1.070466924	0.965997622	1.094354017	1.259667372	1.014190568	0.918401398	1.470752448	0.984698193	1.036598733	0.954701521	1.124793505	1.096381454	1.487512424	1.209533728	1.468782248	1.259632477	0.984445643	0.978122494	0.970416	0.881415075	1.152251568	1.180900913	1.585476	1.860501538	0.995534776	1.609300008	0.708379629	0.94798711	0.964345839	0.903660793	1.189708361	0.750679922	0.79466483	1.13394725	0.80623427	2.027510498	0.956557758	1.336563644	0.714284471	1.09670273	1.025334779	1.112129761	1.271126949	0.589932318	1.058108258	1.169866439	1.102457379	1.044004704	1.204802	1.102835357	0.730885449	0.753085811	0.996175804	1.149462808	1.076321662	0.673585193
JD321	0.625	PLB_nSW_78.wiff.zip	0.071161489	1.084329432	1.317714395	0.82050818	1.216086651	1.064224626	1.151265716	1.904191961	2.149279404	2.250597434	2.278076875	1.191450532	1.094981295	0.726017487	2.800698045	1.042895473	1.18504131	1.063952899	1.566217381	0.972275753	1.037112219	1.198893293	0.991464642	1.103130295	1.080872272	0.68224927	1.18296121	1.806026259	0.930146656	1.372578379	1.18586533	1.049942614	1.0995159	1.085574	1.20702654	1.016661139	1.195164489	1.432483	1.643168773	1.111414278	1.277777345	0.690884965	1.068095858	1.082021376	0.842944554	1.243823023	0.94197219	0.934393329	0.990772397	1.13263398	1.610154117	0.981938027	1.366599752	0.779368472	1.102465675	1.15745457	1.188127503	1.322192172	0.499287798	2.022163212	1.202513325	1.131212818	1.087641365	1.271633	1.139865858	0.92630988	0.788760843	1.201818557	1.20036708	1.079066769	0.699837047
JD321	0.3125	PLB_nSW_79.wiff.zip	0.074402085	0.935273537	1.430293932	0.848883653	1.593476256	1.039193373	1.008945679	1.90811842	2.060599287	1.947713293	1.902078347	1.175232456	1.092205312	0.469143675	2.26300979	1.131087178	1.020305271	1.39839326	1.281095957	1.114112009	0.858545728	1.411260933	0.926473601	1.133528393	1.124063337	0.643029363	1.259164587	1.702793183	0.949930843	1.256065119	0.968213618	0.971081223	0.985417801	1.288468	0.904005876	0.729736805	1.135280154	3.605836	12.01828438	1.261476721	1.520070616	0.461473506	1.231458863	0.99805633	0.905925052	1.262418921	0.732551169	0.803990199	1.141027067	0.887348442	1.854509433	1.1291875	1.085238903	0.973811682	1.292840856	1.08240195	1.414542835	1.281564082	0.685003771	2.160680428	1.052374908	1.124080279	1.092703575	2.200665	1.042586358	1.538149103	0.912344881	1.101906433	1.052527331	1.222671585	0.952894131
JD321	0.15625	PLB_nSW_80.wiff.zip	0.146648476	0.878108766	1.648070457	0.659858903	1.702434373	1.043546165	0.571138554	1.303039923	1.217088629	0.987112715	0.976322496	0.807495946	1.0184065	1.478921857	1.214538066	1.436520922	0.812232454	1.576688993	1.551917839	1.452775861	1.070187246	1.743237716	0.759537549	0.936208497	1.063526036	0.784676579	1.408671938	1.221982755	1.081620212	1.656740255	0.989787197	0.784029496	0.933452632	1.648889	1.252962217	0.96415348	0.779091901	8.353925	34.97226383	1.077314167	1.717075271	0.886173699	1.265912652	1.067141241	0.815883933	1.223253995	0.3271323	0.728468824	1.348312569	1.07156101	2.142972889	1.255766587	0.953152352	1.420417657	1.183296347	0.77157903	1.401650076	1.159457617	1.2954752	2.533251108	0.830341017	0.876553125	1.160742137	6.48379	0.713609881	1.547682451	0.937720001	1.097369304	0.950454332	0.657849505	0.466747792
JD321	0.078125	PLB_nSW_81.wiff.zip	0.163641013	0.710497633	1.580832826	0.826706147	2.277430445	1.072462875	0.531529918	1.404175051	1.154881238	0.83617309	0.837603483	0.772135949	1.08110149	0.929382942	1.20387931	1.541671054	0.863059543	1.673568844	1.672506579	1.613203932	1.085622432	1.779624135	0.73945758	0.97953057	1.025964672	0.847173112	1.377703335	1.097252678	0.819984236	1.181288842	1.10299904	0.824944246	0.922458075	1.744138	0.989713723	0.616235424	0.792265848	9.041326	66.16379068	0.996670392	2.32477205	0.738052344	1.046252187	0.996397734	0.947742278	1.372943945	0.329150921	0.667842918	1.468904605	1.01886162	2.290859563	1.246354299	1.015414852	1.424224484	1.35142733	0.904342877	1.479565469	1.213861235	1.376180329	2.6024093	1.100266924	0.791233106	1.08369333	8.14927	0.741247911	2.597104178	0.877971577	1.124927713	0.982795212	0.844837318	0.664152406
JD321	0.0390625	PLB_nSW_83.wiff.zip	0.163711068	0.731735707	1.617211639	0.778023429	2.023781062	0.986816964	0.521725573	1.287271233	1.122004082	0.732485051	0.751371467	0.798089605	1.051971826	1.215852432	1.115277829	1.814356874	0.916230979	1.794292161	1.653326141	1.620499889	1.243488348	1.713031455	0.771529473	0.926467575	1.129246978	0.907199123	1.483719821	1.279503108	1.015633827	1.528850049	1.037746022	0.806210679	0.92289782	2.070704	0.677653364	0.636352881	0.795384539	10.65772	93.69898751	0.963420072	2.376563744	0.787093411	1.403365049	1.205218421	0.780181609	1.549121703	0.382862193	0.744595886	1.404031849	0.720833597	2.213906756	1.291966694	1.134126733	1.586791103	1.506021422	0.943482806	1.254690569	1.184188981	1.302299155	2.894333232	1.075363388	0.716836344	1.033936738	8.451456	0.82908176	1.965930903	0.847040837	1.17721148	0.969305871	0.893333764	0.655213921
JD270	1.25	PLB_nSW_86.wiff.zip	1.942207555	0.882620786	1.243195539	0.918275658	1.139971412	1.011179026	1.033336501	1.617562333	1.792157593	1.84090367	1.725769224	1.11242555	1.105985466	0.75363315	1.93315101	1.093941164	1.1667846	1.03496182	1.28460845	0.891172632	0.757261033	1.112454533	0.99889718	1.098901165	1.073455616	0.977419646	1.191212073	1.527503109	0.818415161	1.380562473	0.996618001	1.089900315	1.041821791	0.959438	0.853461115	0.757904829	1.174137389	1.25042	2.532448501	1.116037302	1.143847097	0.56462187	1.120035953	0.854895596	0.945368798	1.069047495	0.837788127	0.781974858	1.056913951	0.808018394	1.669269857	0.945748078	1.065976003	0.758717644	1.03975988	1.00884964	1.110865794	0.970637957	0.794194111	0.750263244	0	1.206770761	1.056346382	1.009062	1.228280723	1.109432147	0.821703203	1.174279253	0.962321124	1.03970149	0.813253022
JD270	0.625	PLB_nSW_87.wiff.zip	0.667872716	1.090163664	1.342537802	0.818584732	1.192117107	0.907053082	1.055803823	1.605823154	1.711991564	1.856954488	1.643277653	1.05544745	1.064427273	0.810724605	1.990038145	0.938891185	1.120882272	1.070183819	1.094634095	0.916205451	0.878418804	0.984347531	1.003441876	1.089531	1.063875275	0.527435478	1.179333991	1.412404345	0.781218087	0.990876243	1.01460372	1.021925531	1.073512	0.87235	0.850385202	0.908761484	1.198880957	1.282176	2.145125644	1.187853106	1.343910686	0.434021625	1.100196019	0.890804747	0.960275822	1.066108832	0.996762074	0.862662994	0.913764316	1.045026982	1.568164541	0.98847764	1.107518264	1.000427816	0.989427032	1.04616187	1.162045138	1.08276974	0.557988087	1.012137884	1.159902945	1.229173934	1.041737929	1.012372	1.252300391	0.963171249	0.845780888	1.132398601	1.052092587	0.792517302	0.682346899
JD270	0.3125	PLB_nSW_88.wiff.zip	0.247472884	1.028233459	1.376560278	0.847769622	1.006161575	1.036086126	1.036956745	1.460907237	1.705676538	1.863846051	1.671721368	0.997839158	1.057220133	1.03932075	1.986759894	0.923184974	1.099634661	1.034798345	1.135431961	0.843085437	0.841690433	1.020406781	1.019725603	1.106163607	1.022975726	0.806550633	1.102533224	1.495584008	0.713827435	1.037852857	0.939227932	1.03089885	0.995011929	0.962784	0.903400889	0.826641512	1.200664624	1.211518	1.838820437	1.193348095	1.230999147	0.62765612	1.087084698	0.864188159	0.872248816	1.079693252	0.912642129	0.738281347	1.033803297	0.910148432	1.718146017	0.959919763	0.970654319	0.909552455	1.018529769	0.993484727	0.937427462	0.974370958	0.624530911	0.627416853	1.075969749	1.058394484	1.199001976	1.074847	1.208065702	1.161785534	0.833475287	1.101358406	1.096932012	0.886100608	0.678141111
JD270	0.15625	PLB_nSW_89.wiff.zip	0.172969467	1.045313445	1.290160672	0.887138813	1.095430239	0.903561914	1.029315566	1.56930158	1.792472629	1.793869201	1.679323391	1.123651101	1.059766704	0.730171644	2.073993281	1.034679651	1.10637483	1.062481638	1.017849083	0.912313818	0.769421112	1.046175657	1.005141163	1.074630047	1.038324369	0.812781994	1.149361214	1.595958515	0.84580411	1.228797287	0.926013618	0.975397619	0.989681598	0.903967	0.696359012	1.614976632	1.186376591	1.242548	1.574768495	1.24463734	1.387534048	0.721730521	1.126473783	0.840479063	0.908866586	1.09028339	0.951025919	0.728811498	0.911339978	0.615749418	1.172929492	1.018512091	1.148624235	0.864721867	1.136380871	0.998760994	1.110675772	1.055628605	0.965652125	0.527652321	0.856157395	1.089395217	1.022349437	1.013377	1.227989176	1.036411462	0.85318553	1.118990993	1.062324335	1.030894495	0.424594187
