Cell	HSL [nM]		Files	sp|P02358|RS6_ECOLI	sp|P02359|RS7_ECOLI	sp|P02413|RL15_ECOLI	sp|P0A7J3|RL10_ECOLI	sp|P0A7J7|RL11_ECOLI	sp|P0A7K2|RL7_ECOLI	sp|P0A7K6|RL19_ECOLI	sp|P0A7L0|RL1_ECOLI	sp|P0A7L3|RL20_ECOLI	sp|P0A7L8|RL27_ECOLI	sp|P0A7M2|RL28_ECOLI	sp|P0A7M6|RL29_ECOLI	sp|P0A7M9|RL31_ECOLI	sp|P0A7N4|RL32_ECOLI	sp|P0A7N9|RL33_ECOLI	sp|P0A7P5|RL34_ECOLI	sp|P0A7Q1|RL35_ECOLI	sp|P0A7R1|RL9_ECOLI	sp|P0A7R5|RS10_ECOLI	sp|P0A7R9|RS11_ECOLI	sp|P0A7S3|RS12_ECOLI	sp|P0A7S9|RS13_ECOLI	sp|P0A7T3|RS16_ECOLI	sp|P0A7T7|RS18_ECOLI	sp|P0A7U3|RS19_ECOLI	sp|P0A7U7|RS20_ECOLI	sp|P0A7V0|RS2_ECOLI	sp|P0A7V3|RS3_ECOLI	sp|P0A7V8|RS4_ECOLI	sp|P0A7W1|RS5_ECOLI	sp|P0A7W7|RS8_ECOLI	sp|P0A7X3|RS9_ECOLI	sp|P0AA10|RL13_ECOLI	sp|P0ADY3|RL14_ECOLI	sp|P0ADY7|RL16_ECOLI	sp|P0ADZ0|RL23_ECOLI	sp|P0ADZ4|RS15_ECOLI	sp|P0AG44|RL17_ECOLI	sp|P0AG48|RL21_ECOLI	sp|P0AG51|RL30_ECOLI	sp|P0AG55|RL6_ECOLI	sp|P0AG59|RS14_ECOLI	sp|P0AG63|RS17_ECOLI	sp|P0AG67|RS1_ECOLI	sp|P0C018|RL18_ECOLI	sp|P60422|RL2_ECOLI	sp|P60438|RL3_ECOLI	sp|P60624|RL24_ECOLI	sp|P60723|RL4_ECOLI	sp|P61175|RL22_ECOLI	sp|P62399|RL5_ECOLI	sp|P68679|RS21_ECOLI	sp|P68919|RL25_ECOLI
JD321	1.25		PLB_nSW_77.wiff.zip	1.07513196	1.06531052	1.156244343	0.943229153	1.081393598	1.162354449	1.085669006	1.058651255	1.049320795	1.104541345	1.106657366	0.982233643	1.085358392	1.037291668	0.900355165	0.978709803	1.138804821	1.029293278	1.097647216	1.109775634	1.065839351	1.043677928	1.116263445	1.072129033	1.021922118	0.902335994	1.062422986	1.038973743	1.125562148	0.987867697	1.098114103	0.960739188	1.065948801	1.102051195	0.960858025	1.046606601	0.807128648	4.45894766	1.065466376	1.119683552	1.034310558	1.020433362	1.222453344	1.080334175	1.060820148	1.061859818	1.127548868	1.137251642	1.09400994	1.025391052	1.072341413	0.995623491	1.051558593
JD321	0.625		PLB_nSW_78.wiff.zip	1.096449059	1.140220443	1.213288086	0.995567491	1.130612777	1.151136674	1.143339311	1.121031336	1.092073879	1.099120819	1.226314533	1.060324764	1.495203811	1.009260399	0.848890961	0.957741938	1.103524335	1.0555785	1.12113588	1.145463631	1.144780364	1.139075617	1.182007921	1.108936204	1.085429655	1.091003384	1.103031076	1.103323703	1.123157004	1.005669569	1.155568264	1.11577008	1.140258499	1.19042118	0.987150394	1.0081318	0.906579726	2.070713211	1.114421691	0.985426817	1.086947694	1.136754812	1.226221135	1.027002983	1.033410717	1.094714739	1.168661227	1.151585977	1.105740803	1.080724737	1.070843572	1.062432889	1.094498199
JD321	0.3125		PLB_nSW_79.wiff.zip	1.178714096	1.20397771	1.218857307	0.979846684	1.238730181	1.144364762	1.160405064	1.175158694	1.127168504	1.076555696	1.241855865	1.116871545	1.175207636	0.816679003	0.871085724	0.986615102	0.953655899	1.165037121	1.145403113	1.086456843	1.074191879	1.213118658	0.99750575	1.276078399	1.115595598	1.111677982	1.13698451	1.111057362	1.249589538	1.079158158	1.233977595	1.00707416	1.152600736	1.204133736	1.086294479	1.22236269	0.934381836	0.948482266	1.206921645	1.048188693	1.152286396	1.176567252	1.409762775	1.068172365	1.144447485	1.156432347	1.175552425	1.2978013	1.136256554	1.039393102	1.21654397	1.109623469	1.116102991
JD321	0.15625		PLB_nSW_80.wiff.zip	1.52329357	1.353280394	1.381112334	1.027035051	1.397734907	1.329612468	1.267204231	1.170107913	1.217198768	1.075713286	1.204282237	1.183670772	1.4131106	0.451696315	0.798229849	0.841100534	0.48558209	1.198757814	1.208042677	1.275528571	1.175209853	1.517059678	1.284189198	1.587475279	1.251829564	1.292365232	1.028491236	1.001895541	1.335574733	1.221510791	1.441394726	0.99249068	1.279060713	1.403117106	1.167840426	0.945468132	1.195842329	0.403082111	1.369715414	1.153156606	1.306504598	1.197378367	1.481947865	0.934504173	1.3109147	1.138892807	1.305776223	1.415890868	1.168217222	1.164217409	1.596309282	1.036285679	1.19008347
JD321	0.078125		PLB_nSW_81.wiff.zip	1.577571098	1.41091425	1.529413496	1.017449995	1.448862315	1.379487853	1.353165586	1.150246629	1.215981705	1.128447377	1.189242306	1.278682269	1.553510388	0.478981603	0.803487023	0.872656714	0.442792631	1.290390905	1.297500502	1.383438832	1.313837617	1.635018284	1.346487434	1.473229561	1.224519023	1.343667551	1.107565133	1.118470128	1.471772536	1.231216228	1.424684452	0.970774226	1.390277325	1.427854082	1.190267859	1.02845624	1.225424653	0.37522506	1.329349728	1.104588973	1.34764742	1.243911362	1.603262989	0.929354841	1.614611102	1.183238382	1.340590483	1.536147592	1.197387567	1.170729781	1.643350047	1.06285705	1.45955486
JD321	0.0390625		PLB_nSW_83.wiff.zip	1.664282365	1.553308056	1.596187244	1.134735003	1.628859362	1.591225169	1.498307831	1.214096476	1.344231073	1.222420217	1.272562125	1.279660936	1.718566806	0.448833307	0.937431407	1.000353435	0.415337826	1.364680123	1.379819486	1.404032193	1.408850705	1.855530271	1.501324449	1.745564845	1.307546814	1.563706508	1.177562312	1.132981877	1.582748376	1.346342655	1.600023323	1.117074339	1.438144696	1.664668938	1.205757119	1.236989562	1.320900983	0.345519864	1.500463404	1.306771737	1.48961456	1.322230514	1.78337757	1.034935595	1.531392913	1.267077052	1.487465081	1.707538388	1.308949653	1.24117953	1.962755599	1.143594261	1.390837044
JD270	1.25		PLB_nSW_86.wiff.zip	1.092368562	1.068413051	1.117945899	0.972856314	1.019843716	1.025540455	1.009354858	1.045879364	1.059081147	1.138514682	1.200409762	1.033815671	1.113994986	1.003921628	0.946917039	1.021458909	1.022611017	1.062106551	1.056227053	1.12321375	1.123224136	1.083440721	1.071625718	1.093724351	1.124917774	0.898229365	1.120521541	1.039230614	1.129659641	1.024601898	1.098099612	1.083255386	1.073536183	1.13036176	0.967804596	0.998668875	0.893011949	1.06274508	1.030077074	1.025960816	1.05532039	1.070717846	1.176825348	1.048485973	1.004183114	1.038365929	1.090326878	1.125711548	1.077437309	0.991715304	0.951962047	1.124285274	0.98859468
JD270	0.625		PLB_nSW_87.wiff.zip	1.137226455	1.072963382	1.189191193	0.956474654	1.118233247	1.097270406	1.082248233	1.066982746	1.107124865	1.111751778	1.117994277	1.053170192	1.101118961	1.031811954	0.948243082	1.152273922	1.055395303	1.096262991	1.064908338	1.090011084	1.036727357	1.098041363	0.989066958	1.013224325	1.05077981	1.079508498	1.125091141	1.086146318	1.084981386	1.056083771	1.054556867	1.079244513	1.074125671	1.126250975	0.99011676	0.992231984	0.861360973	1.130713597	1.15685802	1.024545313	1.09131714	1.10953008	1.257046768	1.072210982	1.195417327	1.089253409	1.136777674	1.206397403	1.123994245	1.007270284	1.006342958	1.155806951	1.031755374
JD270	0.3125		PLB_nSW_88.wiff.zip	1.086783402	1.117042816	1.113979143	0.975219377	1.057286681	1.148644539	1.052239291	1.045106837	1.062007406	1.102953489	1.157642779	1.062362252	1.050690209	0.942326969	0.956181136	0.961094446	1.008950544	1.077077004	1.078146327	0.919028136	0.881469952	1.083392781	1.115752973	1.090878368	1.122035822	0.951578761	1.125764309	1.059459339	1.144442301	1.025795128	1.086573518	1.058604554	1.064333933	1.098243216	0.961593199	1.01395227	0.952890398	1.047069839	1.090240422	0.920458621	1.097239519	1.082638048	1.246568133	1.098600386	0.968345585	1.054114333	1.065187904	1.107327968	1.067200368	0.968209946	1.038335684	1.061819053	1.064889196
JD270	0.15625		PLB_nSW_89.wiff.zip	1.085922094	1.140704614	1.180441487	0.959320201	1.074947731	1.139785387	1.067320366	1.086887754	1.071870991	1.122462162	1.110107421	1.04869268	1.084295409	0.948413935	0.950755831	0.969856504	1.069760445	1.085044894	1.028964471	0.992161872	0.996964898	1.104351504	0.966305589	1.09507127	0.987059706	1.023594309	1.131258808	1.02461716	1.101598851	1.042802897	1.082946346	1.067292445	1.106484815	1.143505105	1.008873909	1.008789428	0.868897896	1.039881472	1.104137484	0.972473691	1.060897538	1.093641297	1.214941365	1.12205162	1.147719212	1.104098465	1.132184014	1.204951003	1.08718753	1.004444984	1.009390665	1.1143976	1.06494224
