Cell	HSL [nM]	File	sp|P00579|RPOD_ECOLI	sp|P05055|PNP_ECOLI	sp|P06968|DUT_ECOLI	sp|P06992|RSMA_ECOLI	sp|P07012|RF2_ECOLI	sp|P07395|SYFB_ECOLI	sp|P08622|DNAJ_ECOLI	sp|P09372|GRPE_ECOLI	sp|P0A6F5|CH60_ECOLI	sp|P0A6F9|CH10_ECOLI	sp|P0A6N4|EFP_ECOLI	sp|P0A6P1|EFTS_ECOLI	sp|P0A6U5|RSMG_ECOLI	sp|P0A6Y8|DNAK_ECOLI	sp|P0A705|IF2_ECOLI	sp|P0A707|IF3_ECOLI	sp|P0A7G2|RBFA_ECOLI	sp|P0A7I0|RF1_ECOLI	sp|P0A7I4|RF3_ECOLI	sp|P0A7X6|RIMM_ECOLI	sp|P0A7Y0|RNC_ECOLI	sp|P0A7Z4|RPOA_ECOLI	sp|P0A800|RPOZ_ECOLI	sp|P0A805|RRF_ECOLI	sp|P0A832|SSRP_ECOLI	sp|P0A850|TIG_ECOLI	sp|P0A898|YBEY_ECOLI	sp|P0A8I8|RLMH_ECOLI	sp|P0A8J8|RHLB_ECOLI	sp|P0A8R0|RRAA_ECOLI	sp|P0A8T7|RPOC_ECOLI	sp|P0A8V2|RPOB_ECOLI	sp|P0A8X0|YJGA_ECOLI	sp|P0A948|RIMJ_ECOLI	sp|P0A968|CSPD_ECOLI	sp|P0A9L3|FKBB_ECOLI	sp|P0A9P6|DEAD_ECOLI	sp|P0A9X9|CSPA_ECOLI	sp|P0A9Y6|CSPC_ECOLI	sp|P0AA39|RLUC_ECOLI	sp|P0AA43|RSUA_ECOLI	sp|P0ADK8|YIBL_ECOLI	sp|P0ADR6|RLMM_ECOLI	sp|P0AEI4|RIMO_ECOLI	sp|P0AFF6|NUSA_ECOLI	sp|P0AFX0|HPF_ECOLI	sp|P0AGD7|SRP54_ECOLI	sp|P0AGK4|YHBY_ECOLI	sp|P0AGL7|RSME_ECOLI	sp|P0C0R7|RLME_ECOLI	sp|P0CE47|EFTU1_ECOLI	sp|P0CG19|RNPH_ECOLI	sp|P21507|SRMB_ECOLI	sp|P21513|RNE_ECOLI	sp|P30850|RNB_ECOLI	sp|P33643|RLUD_ECOLI	sp|P35340|AHPF_ECOLI	sp|P36979|RLMN_ECOLI	sp|P37765|RLUB_ECOLI	sp|P38521|YGGL_ECOLI	sp|P39286|RSGA_ECOLI	sp|P39406|RSMC_ECOLI	sp|P42641|OBG_ECOLI	sp|P45523|FKBA_ECOLI	sp|P45748|TSAC_ECOLI	sp|P46130|YBHC_ECOLI	sp|P69222|IF1_ECOLI	sp|P75876|RLMI_ECOLI	sp|P77748|YDIJ_ECOLI	sp|Q46868|YQIC_ECOLI
JD321	1.25	PLB_nSW_77.wiff.zip	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JD321	0.625	PLB_nSW_78.wiff.zip	1.095405388	0.933448283	1.107815342	0.980313048	1.100094975	1.025527901	1.059814694	1.12623507	1.080559005	1.147321843	1.134856111	1.1147471	0.671601597	1.118664723	0.974243528	1.226753859	0.972220033	1.243357902	0.958671657	1.129258101	0.815156415	1.006871597	1.064182562	1.132157274	0.60655513	1.078968643	1.214125159	0.769012583	0.934500932	0.941437563	1.066531831	1.124108593	1.118668695	1.369418987	0.882325672	1.012078554	0.730340365	0.883185926	1.116399251	0.793995737	0.975303264	1.126698714	1.122026282	0.932810807	1.045485653	1.254825342	1.17583325	0.873737643	1.404844749	0.794153282	1.026532918	1.022472636	1.09111776	1.005254792	1.128855271	1.06833532	1.040173188	0.846347595	1.911111832	1.027906507	1.026083039	1.04179738	1.055470205	1.033577543	1.267380382	1.047371803	1.20643219	1.044285271	1.002550452	1.038973324
JD321	0.3125	PLB_nSW_79.wiff.zip	0.944826951	1.013197867	1.146126702	1.284534753	1.074220028	0.898751634	1.062000041	1.079766166	0.93513798	0.957955396	1.1194084	1.111921007	0.433980788	0.903899378	1.056629731	1.056219237	1.277825309	1.017011304	1.098523339	0.934826243	0.959550286	0.940870621	1.093507407	1.177397659	0.571686589	1.148473082	1.144725352	0.785369453	0.855174497	0.76864771	0.986424421	1.00745848	1.3277481	1.025630151	0.633313788	0.961367834	2.12441239	6.459701395	1.267134761	0.94455391	0.65144943	1.299024902	1.034956848	1.002505651	1.061116289	0.975850222	1.011734972	1.006243515	1.100608688	0.914673159	1.180469752	0.81196201	1.363338728	1.178843473	1.05565711	1.271922472	1.008210929	1.161156545	2.042022082	0.899568424	1.019613366	1.046646218	1.826577812	0.945369	2.104500924	1.211475331	1.106136516	0.915668887	1.135972291	1.414660151
JD321	0.15625	PLB_nSW_80.wiff.zip	0.887078266	1.167467354	0.890913502	1.372368185	1.078719533	0.508760501	0.725231955	0.637761612	0.473933506	0.491711293	0.769139535	1.036790033	1.368074873	0.485115092	1.341957318	0.840822416	1.440748576	1.232006062	1.432448602	1.165271795	1.185269294	0.771340452	0.903154198	1.113987997	0.697618342	1.284837437	0.82149415	0.894245598	1.1279686	0.785774593	0.796417255	0.954331015	1.699156856	1.421534817	0.836756059	0.659743669	4.921793167	18.79722382	1.082146192	1.066970274	1.250986988	1.335369055	1.106595993	0.902865255	1.028196519	0.435781336	0.916699465	1.189043466	1.329093851	1.056947864	1.312797451	0.713136524	1.988588182	1.078958148	0.752514248	1.260329618	0.912149347	2.195972591	2.394132253	0.709774201	0.795090261	1.111816961	5.38162245	0.647068374	2.117544483	1.245170189	1.101581969	0.826868277	0.611201584	0.692930599
JD321	0.078125	PLB_nSW_81.wiff.zip	0.717755059	1.119837267	1.116183574	1.835884623	1.108610899	0.473477802	0.781520657	0.605164573	0.401464228	0.421847385	0.735459154	1.100616748	0.859724565	0.480857734	1.440185603	0.89343858	1.529275552	1.327736683	1.590631961	1.182078374	1.210009296	0.750948448	0.944946718	1.07464443	0.753181014	1.256591244	0.737642698	0.677934163	0.804264106	0.875651478	0.837978463	0.943090544	1.797309607	1.122869067	0.534809795	0.670899513	5.326782338	35.5623413	1.001140709	1.444585869	1.041888153	1.103656553	1.03323693	1.048781008	1.154017229	0.438470394	0.8404083	1.295390596	1.26372899	1.129887892	1.302957702	0.759720539	1.99391775	1.232264033	0.881997661	1.330389242	0.954948863	2.332776639	2.459492477	0.940506444	0.717699497	1.038015754	6.763990547	0.672129259	3.553366921	1.165832053	1.129246171	0.855003924	0.784930145	0.985996148
JD321	0.0390625	PLB_nSW_83.wiff.zip	0.739210071	1.14560745	1.050454233	1.631412516	1.02007824	0.464744259	0.716455586	0.587936749	0.351681427	0.378417825	0.76018	1.070961256	1.12472282	0.445468217	1.694921004	0.948481609	1.639590235	1.312510094	1.597825833	1.353970443	1.16473133	0.783518725	0.893757194	1.182827253	0.806547264	1.35328796	0.860162972	0.839690373	1.040896328	0.823848258	0.818948903	0.943540125	2.133831264	0.768824341	0.552269052	0.673540455	6.279096799	50.36221986	0.967741253	1.476768615	1.111118077	1.480363007	1.249778215	0.86335671	1.302102056	0.510020558	0.936993633	1.23818092	0.894074618	1.09193356	1.350641592	0.848539265	2.221511413	1.373226655	0.92017049	1.128187207	0.931605597	2.207539944	2.735384787	0.91921894	0.650216832	0.990356398	7.014808502	0.751772923	2.689793462	1.124760053	1.181730649	0.843268581	0.829987722	0.972726135
Cell	HSL [nM]	File	sp|P00579|RPOD_ECOLI	sp|P05055|PNP_ECOLI	sp|P06968|DUT_ECOLI	sp|P06992|RSMA_ECOLI	sp|P07012|RF2_ECOLI	sp|P07395|SYFB_ECOLI	sp|P08622|DNAJ_ECOLI	sp|P09372|GRPE_ECOLI	sp|P0A6F5|CH60_ECOLI	sp|P0A6F9|CH10_ECOLI	sp|P0A6N4|EFP_ECOLI	sp|P0A6P1|EFTS_ECOLI	sp|P0A6U5|RSMG_ECOLI	sp|P0A6Y8|DNAK_ECOLI	sp|P0A705|IF2_ECOLI	sp|P0A707|IF3_ECOLI	sp|P0A7G2|RBFA_ECOLI	sp|P0A7I0|RF1_ECOLI	sp|P0A7I4|RF3_ECOLI	sp|P0A7X6|RIMM_ECOLI	sp|P0A7Y0|RNC_ECOLI	sp|P0A7Z4|RPOA_ECOLI	sp|P0A800|RPOZ_ECOLI	sp|P0A805|RRF_ECOLI	sp|P0A832|SSRP_ECOLI	sp|P0A850|TIG_ECOLI	sp|P0A898|YBEY_ECOLI	sp|P0A8I8|RLMH_ECOLI	sp|P0A8J8|RHLB_ECOLI	sp|P0A8R0|RRAA_ECOLI	sp|P0A8T7|RPOC_ECOLI	sp|P0A8V2|RPOB_ECOLI	sp|P0A8X0|YJGA_ECOLI	sp|P0A948|RIMJ_ECOLI	sp|P0A968|CSPD_ECOLI	sp|P0A9L3|FKBB_ECOLI	sp|P0A9P6|DEAD_ECOLI	sp|P0A9X9|CSPA_ECOLI	sp|P0A9Y6|CSPC_ECOLI	sp|P0AA39|RLUC_ECOLI	sp|P0AA43|RSUA_ECOLI	sp|P0ADK8|YIBL_ECOLI	sp|P0ADR6|RLMM_ECOLI	sp|P0AEI4|RIMO_ECOLI	sp|P0AFF6|NUSA_ECOLI	sp|P0AFX0|HPF_ECOLI	sp|P0AGD7|SRP54_ECOLI	sp|P0AGK4|YHBY_ECOLI	sp|P0AGL7|RSME_ECOLI	sp|P0C0R7|RLME_ECOLI	sp|P0CE47|EFTU1_ECOLI	sp|P0CG19|RNPH_ECOLI	sp|P21507|SRMB_ECOLI	sp|P21513|RNE_ECOLI	sp|P30850|RNB_ECOLI	sp|P33643|RLUD_ECOLI	sp|P35340|AHPF_ECOLI	sp|P36979|RLMN_ECOLI	sp|P37765|RLUB_ECOLI	sp|P38521|YGGL_ECOLI	sp|P39286|RSGA_ECOLI	sp|P39406|RSMC_ECOLI	sp|P42641|OBG_ECOLI	sp|P45523|FKBA_ECOLI	sp|P45748|TSAC_ECOLI	sp|P46130|YBHC_ECOLI	sp|P69222|IF1_ECOLI	sp|P75876|RLMI_ECOLI	sp|P77748|YDIJ_ECOLI	sp|Q46868|YQIC_ECOLI
JD270	1.25	PLB_nSW_86.wiff.zip	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	#DIV/0!	1	1	1	1	1	1	1	1	1	1
JD270	0.625	PLB_nSW_87.wiff.zip	1.235143882	1.0799088	0.89143682	1.045742985	0.897025213	1.021742503	0.992742673	0.955268427	1.008718989	0.952200115	0.948780302	0.962424287	1.075754969	1.029427155	0.858264791	0.960659124	1.034032172	0.852114974	1.028089753	1.159994725	0.884842932	1.004549714	0.99147315	0.991075233	0.539620296	0.990028575	0.92464908	0.954549872	0.717733723	1.018046754	0.937632109	1.030418071	0.751908429	0.996395953	1.199044325	1.021073827	1.025396537	0.847055979	1.064348928	1.174904136	0.768694322	0.982286342	1.042004137	1.015768475	0.997251139	1.189754356	1.103185077	0.864558856	1.293320783	0.939431413	1.045180702	1.038971103	1.318577239	0.951591854	1.036984926	1.046071581	1.115523797	0.702584015	1.349043676	#DIV/0!	1.018564564	0.986170774	1.003280107	1.019555519	0.868165982	1.029302167	0.964335015	1.09328639	0.762254656	0.839033954
JD270	0.3125	PLB_nSW_88.wiff.zip	1.164977615	1.107275755	0.923219095	0.882620007	1.024631741	1.003503452	0.903153595	0.951744726	1.012462565	0.968681875	0.896994103	0.9559078	1.379080459	1.027731348	0.843907336	0.942448728	0.999842048	0.883873963	0.946040539	1.111493126	0.917257066	1.020851418	1.006608822	0.952974404	0.82518357	0.925555784	0.979103741	0.872207003	0.751760878	0.94241518	0.945865264	0.955069223	0.818895838	1.05851441	1.090693027	1.022592957	0.968888798	0.726103783	1.069272589	1.076192045	1.111639761	0.970580181	1.010869823	0.922654542	1.009958171	1.089347174	0.944124148	0.978133836	1.126395685	1.029279963	1.014984631	0.91057802	1.198802297	0.979581718	0.984769868	0.84387103	1.003845925	0.786370614	0.836262282	#DIV/0!	0.877046841	1.135046228	1.065194245	0.983542018	1.047189354	1.014326443	0.937901614	1.139881464	0.85226444	0.833862393
