Cell	HSL [nM]	Files	sp|P02358|RS6_ECOLI	sp|P02359|RS7_ECOLI	sp|P02413|RL15_ECOLI	sp|P0A7J3|RL10_ECOLI	sp|P0A7J7|RL11_ECOLI	sp|P0A7K2|RL7_ECOLI	sp|P0A7K6|RL19_ECOLI	sp|P0A7L0|RL1_ECOLI	sp|P0A7L3|RL20_ECOLI	sp|P0A7L8|RL27_ECOLI	sp|P0A7M2|RL28_ECOLI	sp|P0A7M6|RL29_ECOLI	sp|P0A7M9|RL31_ECOLI	sp|P0A7N4|RL32_ECOLI	sp|P0A7N9|RL33_ECOLI	sp|P0A7P5|RL34_ECOLI	sp|P0A7Q1|RL35_ECOLI	sp|P0A7R1|RL9_ECOLI	sp|P0A7R5|RS10_ECOLI	sp|P0A7R9|RS11_ECOLI	sp|P0A7S3|RS12_ECOLI	sp|P0A7S9|RS13_ECOLI	sp|P0A7T3|RS16_ECOLI	sp|P0A7T7|RS18_ECOLI	sp|P0A7U3|RS19_ECOLI	sp|P0A7U7|RS20_ECOLI	sp|P0A7V0|RS2_ECOLI	sp|P0A7V3|RS3_ECOLI	sp|P0A7V8|RS4_ECOLI	sp|P0A7W1|RS5_ECOLI	sp|P0A7W7|RS8_ECOLI	sp|P0A7X3|RS9_ECOLI	sp|P0AA10|RL13_ECOLI	sp|P0ADY3|RL14_ECOLI	sp|P0ADY7|RL16_ECOLI	sp|P0ADZ0|RL23_ECOLI	sp|P0ADZ4|RS15_ECOLI	sp|P0AG44|RL17_ECOLI	sp|P0AG48|RL21_ECOLI	sp|P0AG51|RL30_ECOLI	sp|P0AG55|RL6_ECOLI	sp|P0AG59|RS14_ECOLI	sp|P0AG63|RS17_ECOLI	sp|P0AG67|RS1_ECOLI	sp|P0C018|RL18_ECOLI	sp|P60422|RL2_ECOLI	sp|P60438|RL3_ECOLI	sp|P60624|RL24_ECOLI	sp|P60723|RL4_ECOLI	sp|P61175|RL22_ECOLI	sp|P62399|RL5_ECOLI	sp|P68679|RS21_ECOLI	sp|P68919|RL25_ECOLI
JD321	1.25	PLB_nSW_77.wiff.zip	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JD321	0.625	PLB_nSW_78.wiff.zip	1.019827426	1.070317454	1.04933537	1.055488465	1.045514582	0.990349093	1.053119601	1.058924108	1.040743578	0.995092509	1.108124855	1.079503611	1.377612982	0.972976483	0.942840108	0.978576014	0.969019725	1.025537155	1.021399101	1.032157848	1.074064645	1.091405295	1.058896917	1.034330915	1.062145183	1.209087736	1.038222149	1.061936078	0.997863162	1.018020502	1.052320757	1.161366262	1.069712258	1.080186823	1.027363427	0.963238526	1.123215893	0.464395048	1.045947311	0.880094037	1.050891037	1.113992206	1.003082155	0.950634541	0.974162038	1.030940921	1.03646171	1.012604365	1.010722812	1.053963496	0.998603205	1.067103075	1.040834249
JD321	0.3125	PLB_nSW_79.wiff.zip	1.096343649	1.130165983	1.054152017	1.038821458	1.145494279	0.984523063	1.068838713	1.110052709	1.074188664	0.974663104	1.122168346	1.137073194	1.082783019	0.78731858	0.967491228	1.008077265	0.837418213	1.131880627	1.04350751	0.978987833	1.007836573	1.162349634	0.893611409	1.190228377	1.09166401	1.232000042	1.070180639	1.069379634	1.110191507	1.092411627	1.123724386	1.048228461	1.081290898	1.092629582	1.130546293	1.167929467	1.157661592	0.212714375	1.13276371	0.936147264	1.114062297	1.153007433	1.153224196	0.988742547	1.07883272	1.089063102	1.042573372	1.141173379	1.038616298	1.013655327	1.134474483	1.114501093	1.061379744
JD321	0.15625	PLB_nSW_80.wiff.zip	1.416843352	1.270315432	1.194481376	1.088849987	1.292531145	1.143895882	1.167210469	1.105281751	1.159987273	0.973900425	1.088215986	1.205080665	1.301976021	0.435457383	0.886572189	0.859397271	0.426396236	1.164641642	1.100574628	1.14935716	1.102614434	1.453570721	1.150435592	1.48067558	1.224975506	1.43224391	0.96806192	0.964312667	1.186584619	1.236512536	1.312609248	1.033049024	1.199926968	1.273186864	1.215414135	0.903365344	1.481600648	0.090398485	1.2855548	1.029895103	1.263164712	1.173401823	1.212273558	0.865013988	1.235755847	1.072545347	1.158066192	1.245011056	1.067830537	1.135388696	1.48862038	1.040840928	1.131732913
JD321	0.078125	PLB_nSW_81.wiff.zip	1.467327879	1.324415956	1.322742468	1.078688028	1.339810331	1.186804812	1.246388704	1.086520819	1.158827415	1.021643402	1.074625573	1.301810703	1.431334019	0.461761738	0.892411189	0.891639903	0.388822231	1.253666892	1.182074243	1.246593265	1.232678842	1.566592758	1.20624521	1.374115909	1.198250827	1.489098917	1.042489806	1.076514334	1.307588869	1.246337168	1.297392	1.010445122	1.30426276	1.295633169	1.238755183	0.982657896	1.518251961	0.084151035	1.247669338	0.986518888	1.302942728	1.219003031	1.311512621	0.860247563	1.522040382	1.114307522	1.188942246	1.350754341	1.094494229	1.141739806	1.53248772	1.0675291	1.387991948
JD321	0.0390625	PLB_nSW_83.wiff.zip	1.547979622	1.458080088	1.380493018	1.203032157	1.506259482	1.368967247	1.380077926	1.146833265	1.281048731	1.10672201	1.149915199	1.302807072	1.583409517	0.432697303	1.041179575	1.022114453	0.364713793	1.325841869	1.257070091	1.265149594	1.321822753	1.777876317	1.344955311	1.628129442	1.279497518	1.73295371	1.108374279	1.090481723	1.406184792	1.362877498	1.457064725	1.162723821	1.349168642	1.510518699	1.25487542	1.181904988	1.636543301	0.077489105	1.408269127	1.167090233	1.440200478	1.295753905	1.458851234	0.95797728	1.443593353	1.193262078	1.319202319	1.501460472	1.196469616	1.210445057	1.830345797	1.148621212	1.32264341
JD270	1.25	PLB_nSW_86.wiff.zip	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
JD270	0.625	PLB_nSW_87.wiff.zip	1.041064796	1.004258963	1.063728749	0.983161275	1.096475106	1.069943561	1.072217788	1.020177645	1.045363585	0.976493141	0.931343872	1.018721443	0.988441577	1.027781378	1.00140038	1.128066839	1.03205939	1.032159147	1.008219147	0.970439583	0.922992414	1.01347618	0.922959333	0.92639825	0.934094771	1.201818311	1.004078101	1.045144651	0.960449808	1.030725956	0.960347181	0.99629739	1.000549109	0.996363301	1.02305441	0.99355453	0.964557051	1.063955617	1.123079087	0.998620314	1.034109783	1.036248797	1.068167651	1.022627875	1.190437591	1.04900727	1.042602633	1.071675426	1.043210807	1.015684925	1.057125083	1.028037081	1.043658635
JD270	0.3125	PLB_nSW_88.wiff.zip	0.99488711	1.045515884	0.996451746	1.002428995	1.036714414	1.120038253	1.042486974	0.999261362	1.002763017	0.968765275	0.964373013	1.027612835	0.943173194	0.938645949	1.009783431	0.94090368	0.986641575	1.014095057	1.020752426	0.818213039	0.784767638	0.999955752	1.041177861	0.997397897	0.997438078	1.059393956	1.004678864	1.019465097	1.013085941	1.00116458	0.989503599	0.977243749	0.991428096	0.971585606	0.993581971	1.015303767	1.067052237	0.985250234	1.058406647	0.897167422	1.039721709	1.011132907	1.059263497	1.047796932	0.964311759	1.015166526	0.976943635	0.983669369	0.990498806	0.97629828	1.090732228	0.944439172	1.077174718
JD270	0.15625	PLB_nSW_89.wiff.zip	0.994098633	1.067662561	1.055902157	0.986086216	1.054031823	1.111399733	1.057428275	1.039209484	1.012076359	0.985900471	0.924773736	1.014390389	0.973339577	0.944709136	1.004053989	0.949481664	1.046106904	1.021597026	0.97418871	0.883324186	0.887592125	1.019300348	0.901719297	1.001231498	0.877450538	1.139568967	1.009582384	0.985938198	0.97515996	1.017763972	0.986200463	0.985263918	1.030691683	1.011627556	1.042435542	1.010134044	0.972996942	0.978486272	1.07189793	0.947866308	1.005284792	1.021409423	1.032388847	1.070163692	1.142938171	1.063303826	1.03838953	1.070390549	1.009049455	1.012836022	1.060326584	0.991205369	1.077228375
