Protein	 subPL1	 subPL2	 subPL3	 subPL4	 subPL5	 subPL6
P0A7J3RL10-ECOLI	0.012182909	0.023399129	0.095980676	0.163922163	0.469385243	1.115078551
P0A7J7RL11-ECOLI	0.011659449	0.023991556	0.040713252	0.060841187	0.251905232	0.677454235
P0A7K2RL7-ECOLI	0.022731571	0.043044957	0.080160297	0.149733038	0.479660396	1.14453918
P0A7K6RL19-ECOLI	0.055842175	0.051194546	0.08006117	0.104788757	0.384749027	0.995414792
P0A7L0RL1-ECOLI	0.022671458	0.025633549	0.041532677	0.077905771	0.354636413	0.957871759
P0A7L3RL20-ECOLI	0.026731471	0.026646733	0.040618114	0.076595107	0.267730534	0.789442371
P0A7L8RL27-ECOLI	0.127360426	0.11978855	0.137407162	0.25469094	0.617185344	1.285152706
P0A7M2RL28-ECOLI	0.061800893	0.14241068	0.127845713	0.238334747	0.57761574	1.305929043
P0A7M6RL29-ECOLI	0.015821064	0.02890215	0.055832083	0.099338547	0.390223112	0.965460448
P0A7M9RL31-ECOLI	0.135702033	0.108642613	0.108086774	0.121006614	0.210637197	0.750356198
P0A7N4RL32-ECOLI	0.039108934	0.058074234	0.14546552	0.357342895	0.839651082	1.698571739
P0A7N9RL33-ECOLI	0.123517292	0.169852713	0.179390052	0.376299925	0.773582913	1.803922975
P0A7P5RL34-ECOLI	0.067115563	0.083088156	0.244585519	0.458160048	1.020531498	1.532477894
P0A7Q1RL35-ECOLI	0.123351215	0.111850221	0.226169086	0.352152534	0.949112979	2.629713068
P0A7R1RL9-ECOLI	0.034245306	0.060592294	0.090783538	0.111877049	0.300807212	0.873095874
P0A7R5RS10-ECOLI	0.034125764	0.041874671	0.046871539	0.092332722	0.287683537	0.765008329
P0A7R9RS11-ECOLI	0.058404602	0.077235239	0.096583376	0.125683571	0.257611326	0.745642912
P0A7S3RS12-ECOLI	0.020553594	0.020219675	0.028245808	0.084577769	0.292400517	0.830159715
P0A7S9RS13-ECOLI	0.033008021	0.042190105	0.069740256	0.152829527	0.32210876	0.860533428
P0A7T3RS16-ECOLI	0.05508045	0.066447009	0.076775839	0.146193717	0.388101229	1.025017836
P0A7T7RS18-ECOLI	0.051017506	0.064753477	0.06227266	0.098845837	0.220394737	0.673882028
P0A7U3RS19-ECOLI	0.053459291	0.068100569	0.057317489	0.120970625	0.314963524	0.843373021
P0A7U7RS20-ECOLI	0.01578129	0.025695286	0.063517884	0.179717389	0.320461812	0.700695123
P0A7V0RS2-ECOLI	0.015665125	0.018395181	0.058392442	0.157436657	0.442732147	1.111835148
P0A7V3RS3-ECOLI	0.032137641	0.054304705	0.083733552	0.154937486	0.461647788	1.228515843
P0A7V8RS4-ECOLI	0.040016359	0.046632841	0.051890373	0.141444672	0.28524291	0.791353654
P0A7W1RS5-ECOLI	0.030570548	0.036331417	0.037134985	0.083483957	0.271335131	0.735870422
P0A7W7RS8-ECOLI	0.034037718	0.040585905	0.050439773	0.124934682	0.414801628	0.879153335
P0A7X3RS9-ECOLI	0.035200032	0.052236687	0.073773327	0.198588211	0.525695929	1.266417424
P0AA10RL13-ECOLI	0.077179284	0.065658107	0.075811219	0.106316783	0.37279084	0.980613893
P0ADY3RL14-ECOLI	0.000715499	0.012232674	0.075517003	0.165967853	0.524218255	1.255430939
P0ADY7RL16-ECOLI	0.077184769	0.06609493	0.088372487	0.103474668	0.363955622	1.000288143
P0ADZ0RL23-ECOLI	0.077844689	0.086745222	0.107680857	0.104941249	0.391978071	0.856595477
P0ADZ4RS15-ECOLI	0.112618069	0.127894307	0.097680271	0.195086122	0.253654022	0.734550266
P0AG44RL17-ECOLI	0.099453328	0.307906146	0.864375791	1.553284775	2.919727634	5.096982456
P0AG48RL21-ECOLI	0.014536023	0.021095176	0.044322285	0.08637724	0.348944439	0.91152701
P0AG51RL30-ECOLI	0.024095254	0.024105213	0.057594445	0.106616698	0.345470006	0.95820759
P0AG55RL6-ECOLI	0.051393903	0.052605526	0.066071079	0.089740497	0.265656278	0.763805352
P0AG59RS14-ECOLI	0.125342826	0.114146428	0.200705596	0.26602532	0.422618478	0.999694656
P0AG63RS17-ECOLI	0.172080537	0.172785521	0.205435095	0.405661918	0.537221051	1.009360699
P0AG67RS1-ECOLI	0.030528813	0.05372145	0.105893928	0.26551442	0.569335605	1.272185092
P0C018RL18-ECOLI	0.126298686	0.112934658	0.11405022	0.106497324	0.282947707	0.712897007
P02358RS6-ECOLI	0.08593991	0.081082051	0.072753864	0.142913777	0.245355824	0.72508303
P02359RS7-ECOLI	0.025304806	0.045733157	0.029009324	0.06148051	0.233096352	0.709746101
P02413RL15-ECOLI	0.045150205	0.070264557	0.069573649	0.115243332	0.368593574	0.910196705
P60422RL2-ECOLI	0.082103363	0.121389968	0.128678321	0.16294838	0.473336149	1.128957169
P60438RL3-ECOLI	0.037499228	0.030597045	0.055835211	0.066585249	0.284497514	0.836240879
P60624RL24-ECOLI	0.00166871	0.010657635	0.033101216	0.078441	0.3304556	0.907114854
P60723RL4-ECOLI	0.0270343	0.044483376	0.051708384	0.089824976	0.35532201	0.993463939
P61175RL22-ECOLI	0.184416764	0.151624695	0.188078367	0.211637324	0.462557574	1.018521252
P62399RL5-ECOLI	0.013917457	0.017452125	0.033094906	0.043794785	0.209818737	0.598389831
P68679RS21-ECOLI	0.103005188	0.151850023	0.179586304	0.414181277	0.81259808	1.665992904
P68919RL25-ECOLI	0.154243366	0.224535696	0.177592114	0.223027645	0.31889289	0.625605994
