Protein	 subPL7	 subPL8	 subPL9	 subPL10	 subPL11
P0A7J3RL10-ECOLI	0.011045282	0.074914378	0.130690476	0.204639492	0.273132058
P0A7J7RL11-ECOLI	0.01355599	0.064640632	0.140624076	0.206016533	0.287047743
P0A7K2RL7-ECOLI	0.013012581	0.091240428	0.15903659	0.236441844	0.310926858
P0A7K6RL19-ECOLI	0.055333008	0.118381587	0.187317223	0.256868565	0.415659992
P0A7L0RL1-ECOLI	0.010136488	0.054204029	0.111793188	0.174711576	0.28265248
P0A7L3RL20-ECOLI	0.016545306	0.067938288	0.116806145	0.191203384	0.257138939
P0A7L8RL27-ECOLI	0.056587785	0.119927888	0.198077038	0.260207398	0.420199946
P0A7M2RL28-ECOLI	0.011637537	0.084696577	0.178976968	0.25671172	0.52347634
P0A7M6RL29-ECOLI	0.004508649	0.052989689	0.117530915	0.188266403	0.262911427
P0A7M9RL31-ECOLI	0.057274351	0.217156383	0.336611368	0.43482496	0.458531305
P0A7N4RL32-ECOLI	0.015501664	0.061530213	0.137986842	0.228647784	0.393922006
P0A7N9RL33-ECOLI	0.042636148	0.181965022	0.329217928	0.464930892	0.543353199
P0A7Q1RL35-ECOLI	0.028034814	0.118657627	0.218345085	0.304699807	0.461712692
P0A7R1RL9-ECOLI	0.012922023	0.111506663	0.21519994	0.32108351	0.423067023
P0A7R5RS10-ECOLI	0.007727519	0.050301417	0.141342259	0.240617547	0.331190159
P0A7R9RS11-ECOLI	0.038296936	0.094914629	0.166125713	0.256968609	0.396587966
P0A7S3RS12-ECOLI	0.029325289	0.108243272	0.171857794	0.271734279	0.347800864
P0A7S9RS13-ECOLI	0.020141646	0.105787686	0.186606016	0.297502404	0.391227021
P0A7T3RS16-ECOLI	0.037593544	0.098220845	0.191673054	0.275711967	0.393070317
P0A7T7RS18-ECOLI	0.045353842	0.104771255	0.150965638	0.232908009	0.360502933
P0A7U3RS19-ECOLI	0.013929597	0.063330935	0.138782722	0.228519109	0.326332136
P0A7U7RS20-ECOLI	0.007317565	0.08235602	0.176423221	0.258363319	0.234900518
P0A7V0RS2-ECOLI	0.012706067	0.09480137	0.202335197	0.292380685	0.406720128
P0A7V3RS3-ECOLI	0.015177802	0.106290454	0.219480265	0.340036677	0.437264537
P0A7V8RS4-ECOLI	0.029707858	0.075670178	0.148685106	0.229035932	0.35315977
P0A7W1RS5-ECOLI	0.031203038	0.061291429	0.137394053	0.228052837	0.347382765
P0A7W7RS8-ECOLI	0.098675639	0.078733378	0.19788224	0.306181287	0.315358554
P0A7X3RS9-ECOLI	0.008644924	0.092050453	0.201579679	0.300332292	0.400923798
P0AA10RL13-ECOLI	0.041327734	0.096328884	0.155248587	0.219045643	0.367384221
P0ADY3RL14-ECOLI	0.030053214	0.131140845	0.238199488	0.286917747	0.323379783
P0ADY7RL16-ECOLI	0.031880076	0.064206571	0.099054439	0.14639671	0.292758136
P0ADZ0RL23-ECOLI	0.018252846	0.07985803	0.124692747	0.178530651	0.426322985
P0ADZ4RS15-ECOLI	0.028974638	0.079210224	0.1382041	0.218497002	0.422624364
P0AG44RL17-ECOLI	0.080601657	0.171005138	0.229297211	0.326992415	0.463862601
P0AG48RL21-ECOLI	0.018093802	0.112324918	0.178922648	0.244173152	0.365789843
P0AG51RL30-ECOLI	0.026967503	0.08807972	0.150368751	0.20702312	0.261047593
P0AG55RL6-ECOLI	0.016117634	0.063876862	0.122700413	0.184195211	0.285697293
P0AG59RS14-ECOLI	0.051590663	0.147990893	0.262416288	0.334525677	0.452088452
P0AG63RS17-ECOLI	0.098208189	0.125503344	0.217622175	0.298297285	0.399556824
P0AG67RS1-ECOLI	0.040005152	0.131923307	0.238549343	0.343976155	0.45001557
P0C018RL18-ECOLI	0.101039273	0.155239678	0.231644529	0.290636676	0.405306624
P02358RS6-ECOLI	0.020248073	0.079514005	0.139555315	0.226203093	0.42953404
P02359RS7-ECOLI	0.011360028	0.051535425	0.123958153	0.212668209	0.305582244
P02413RL15-ECOLI	0.021649199	0.087793905	0.151465895	0.221660453	0.338130688
P60422RL2-ECOLI	0.045269513	0.098301978	0.161756719	0.224859268	0.418054737
P60438RL3-ECOLI	0.012021887	0.054412664	0.112371101	0.170921123	0.356425346
P60624RL24-ECOLI	0.028177552	0.085590037	0.142936903	0.204921946	0.347974066
P60723RL4-ECOLI	0.014774732	0.054224695	0.103134843	0.161350609	0.272360077
P61175RL22-ECOLI	0.010887367	0.028490475	0.01782523	0.152625366	0.219433404
P62399RL5-ECOLI	0.039441646	0.088299481	0.167887911	0.223863475	0.498461259
P68679RS21-ECOLI	0.042617506	0.225067385	0.379415986	0.477144835	0.606243958
P68919RL25-ECOLI	0.032468331	0.065074644	0.112002021	0.155244849	0.247658084
