Sample	File	RL10_ECOLI	RL11_ECOLI	RL13_ECOLI	RL14_ECOLI	RL15_ECOLI	RL16_ECOLI	RL17_ECOLI	RL18_ECOLI	RL19_ECOLI	RL1_ECOLI	RL20_ECOLI	RL21_ECOLI	RL22_ECOLI	RL23_ECOLI	RL24_ECOLI	RL25_ECOLI	RL27_ECOLI	RL28_ECOLI	RL29_ECOLI	RL2_ECOLI	RL30_ECOLI	RL31_ECOLI	RL32_ECOLI	RL33_ECOLI	RL34_ECOLI	RL35_ECOLI	RL36_ECOLI	RL3_ECOLI	RL4_ECOLI	RL5_ECOLI	RL6_ECOLI	RL7_ECOLI	RL9_ECOLI
Restrictive_1	FG-SW-3	0.261396951	0.380579178	0.285647422	0.219376287	0.309648004	0.472583286	0.036382475	0.277503223	0.314858631	0.238114066	0.419292108	0.337161981	0.271716665	0.180378389	0.322140648	0.543643652	0.177651367	0.084068745	0.261704859	0.253753194	0.201100788	0.383362727	0.059408369	0.381830689	0.202426671	0.035872111	0.123142996	0.21365025	0.290656006	0.279818661	0.325742378	0.273528636	0.307213992
Restrictive_2	FG-SW-4	0.296336932	0.513166211	0.426991051	0.201771888	0.383416988	0.311583938	0.05127946	0.384854813	0.478485855	0.383237419	0.488063686	0.485568947	0.376785833	0.396991747	0.422020195	0.307858896	0.173240087	0.058713693	0.309987749	0.307656268	0.227239478	0.524853527	0.07377447	0.436913013	0.303923547	0.03203416	0.14145789	0.317808764	0.395010521	0.36694531	0.359786288	0.385052418	0.341390807
Restrictive_3	FG-SW-5	0.46447839	0.658066761	0.58389443	0.281812527	0.556622243	0.327724315	0.040651781	0.632122735	0.463725243	0.624725545	0.737543334	0.658289488	0.595432232	0.682990822	0.620016926	0.449423784	0.223236114	0.098567714	0.462024219	0.408325139	0.262902985	0.641066342	0.051334874	0.384366408	0.289580381	0.04140523	0.119338424	0.467895091	0.587068905	0.54984405	0.446008836	0.475587543	0.420063982
Restrictive_4	FG-SW-6	0.773527869	0.961948033	0.932494682	0.455312062	0.980644749	0.531276536	0.034290816	1.036540467	0.631169436	0.953557477	1.167923632	1.023217756	0.882247063	0.652308524	1.021443653	0.596418023	0.318681687	0.185823242	0.833421594	0.673128219	0.373478666	0.953849977	0.060219519	0.448975615	0.54040303	0.037339275	0.154262333	0.883970366	0.950838041	0.888409216	0.690909691	0.842858319	0.586757823
Restrictive_5	FG-SW-7	1.260289	1.713991197	1.675899384	0.836486796	1.680681191	1.030177642	0.044069332	1.733595896	1.074211062	1.663666414	1.858873242	1.683963572	1.507387413	1.306975236	1.68441696	1.173332322	0.867870055	0.288744812	1.352357199	1.365236809	0.703304417	1.646187422	0.053499849	0.542487502	0.974864245	0.040274957	0.450128515	1.502083257	1.681493623	1.502527351	1.270265031	1.485323984	0.955568462
Restrictive_6	FG-SW-8	2.3276794	2.931290493	2.471714563	1.506086131	2.79060351	2.00413829	0.05681894	3.00570522	1.760827976	2.811072777	3.143318481	2.79570038	2.547865972	2.14410146	3.032810018	2.26332713	1.561865807	0.419926937	2.619602153	2.55871572	1.364957756	2.813060699	0.077671119	0.780036308	2.398521632	0.053334722	0.903991253	2.559161052	2.836241901	2.520827907	2.562777239	2.690695967	1.526571632
Restrictive_7	FG-SW-9	3.222779363	4.352156326	4.340587261	2.74604888	3.98393991	3.180680247	0.092309358	4.207915091	3.115728021	4.064889257	4.315721202	4.071697857	3.722870309	3.425035504	4.785932692	3.681924664	2.726333906	0.705936704	3.677603831	3.77663172	2.035630318	4.310881321	0.124126561	1.112663736	3.168282226	0.087717107	1.159984307	3.743146709	4.366269188	3.852790303	4.03094146	4.225443512	2.338818951
Restrictive_8	FG-SW-10	3.983541731	5.496557257	5.457855631	4.142354711	5.49244463	3.836192804	0.122700328	5.581555872	4.213480574	4.974300242	5.550621337	5.335620787	5.511722071	4.830637249	6.060267699	4.459167514	4.508418937	1.476873859	4.835823144	5.018577467	2.40042153	5.182652573	0.214751863	1.459590725	4.831182479	0.112157555	1.344275201	5.326512557	5.389137908	4.752847061	4.763334089	5.730495697	3.240164602
Restrictive_9	FG-SW-11	4.920881935	6.5491076	6.563688651	5.549081447	6.59723329	4.744839664	0.161759496	7.241720195	5.711495165	6.29473075	6.381911398	6.331627208	5.979637773	6.202281407	7.332653966	5.98045181	3.933474488	3.119483566	6.70870904	6.563640734	3.519285931	6.155568364	0.152460922	1.933644188	6.537005605	0.148105314	1.434777847	5.960349191	6.413275426	6.26755162	5.796168933	6.946931583	4.539422799
Restrictive_10	FG-SW-12	5.194932354	7.247744154	7.330731255	6.197358121	6.636307309	4.508418877	0.249200067	8.426616281	6.512114607	7.118418924	7.564008359	6.744308788	6.77752724	6.008228166	8.526201069	6.790780176	6.088619231	3.908387634	7.637972973	7.19365651	3.931828689	6.800515292	0.225539405	2.24740533	6.267518352	0.238794824	1.235892299	6.594984876	6.93142862	6.792764836	5.887549674	7.277163655	5.68058273
Restrictive_11	FG-SW-13	4.00760209	5.588169608	5.962824048	5.342357067	5.08173712	3.021352967	0.28000373	5.860448047	4.94921893	5.610982794	5.8220505	5.580535379	5.384669142	4.904741558	6.723640106	5.095485278	4.736725061	3.340096329	5.605078778	5.644117499	3.387177202	5.286456315	0.206713217	1.515595181	4.809029646	0.316648335	0.900282473	4.941546864	5.788129974	5.618790673	5.122792401	5.481754412	4.483576572
