File	Sample	L1	L10	L11	L13	L14	L15	L16	L17	L18	L19	L2	L20	L21	L22	L23	L24	L25	L27	L28	L29	L3	L30	L31	L32	L33	L34	L35	L36	L4	L5	L6	L7L12	L9
EMC_1_sMRM.wiff	WT_pre_LSU_1	0.971921968	0.194320259	0.775248207	0.97634321	0.611375439	0.928599467	0.217000743	0.978821009	0.731703755	0.729306983	0.784294207	1.053481463	1.064960484	1.098139332	1.16081868	1	0.166183045	0.286514042	0.562654735	0.982900958	0.873743087	0.333377969	0.455759379	0.472881907	0.523675131	0.726903643	0.157497247	0.16475977	1.036929332	0.777679461	0.492657564	0.166570788	0.504950593
EMC_2_sMRM.wiff	WT_pre_LSU_2	1.070983433	0.355967533	0.709619688	1.149739358	0.805457068	1.045274507	0.296009792	1.077838489	0.976424172	0.88537523	0.926981066	1.070818135	1.072115441	1.288002507	1.39474733	1	0.444541151	0.416601783	0.781400799	1.245402596	1.023311056	0.447043866	0.485277163	0.831099726	0.538220662	0.87432034	0.28886012	0.289318255	1.116722796	0.894217998	0.62761616	0.2735599	0.695779663
EMC_5_sMRM.wiff	WT_post_LSU_1	0.777683093	0.133420006	0.504253808	1.004086303	0.740882998	1.130971869	0.253843033	1.061029113	1.15798776	0.752685998	0.803146181	1.060601707	1.096665074	0.809172599	1.279612714	1	0.356221848	0.384649524	0.512484198	1.076834683	1.055561158	0.417311665	0.469258152	0.586264168	0.313334117	0.793036875	0.174226616	0.212166076	1.106082358	0.736453372	0.402288198	0.115438421	0.447346094
EMC_6_sMRM.wiff	WT_post_LSU_2	0.834827229	0.191063639	0.578613681	1.132485065	0.870395794	0.986970252	0.318804677	1.079059047	0.846197455	0.910410389	0.902865151	1.014017659	1.107934215	1.098466675	1.168949437	1	0.401487231	0.502906359	0.734206892	1.104589262	0.972862023	0.496875533	0.478211452	0.849036082	0.437470254	0.940413444	0.348422317	0.322836553	1.086233152	0.755636792	0.495505049	0.18088156	0.636836637
EMC_3_sMRM.wiff	L17_pre_LSU_1	1.211551827	1.085810156	1.104502866	1.129989355	1.012439874	1.412293721	0.789557841	0.035686363	1.329300767	1.091157645	1.243314505	1.126240415	1.10943657	1.240301338	1.246270049	1	0.773064272	0.883657324	0.490274361	1.21197169	1.024613896	0.876638844	0.722275846	0.032447733	0.616642507	0.73482469	0.050316315	0.24264492	1.166096786	1.118515449	1.008480528	0.91359578	0.902212015
EMC_4_sMRM.wiff	L17_pre_LSU_2	1.16476348	1.156068412	1.157403071	1.154615373	0.957915381	1.2799918	0.850766272	0.030353989	1.049345642	1.062113211	1.189504235	1.177700631	1.087582565	1.219064244	1.257731096	1	0.778293288	0.879760988	0.466676962	1.207907907	0.992260232	0.889790595	0.664540748	0.021532934	0.639996953	0.728058351	0.040802026	0.252226185	1.105320977	1.193537165	1.04331564	0.965635594	0.929538039
EMC_7_sMRM.wiff	L17_post_LSU_1	1.067577094	1.075742949	1.160602203	1.155935651	0.989799774	1.11920433	0.778062945	0.035594121	1.079512889	1.100240546	1.204091656	1.102630023	0.975467319	1.227990987	1.253249129	1	0.710678409	0.871286661	0.515420162	1.272991381	1.023426397	0.872596946	0.712997818	0.030601039	0.647382038	0.72955178	0.058899102	0.215895255	1.131947838	1.042643172	0.998450191	0.898693535	0.900501101
EMC_8_sMRM.wiff	L17_post_LSU_2	1.058708811	1.080646764	1.122572342	1.114786505	0.963335593	1.328492259	0.763574632	0.02893097	1.008366314	1.033254823	1.229053801	1.120941591	1.038328299	1.196287661	1.24971117	1	0.766017079	0.877083893	0.458452712	1.277449229	1.002683005	0.883856576	0.69055302	0.023670395	0.679745915	0.707439826	0.045872961	0.220064271	1.090195165	1.071870246	0.976248612	0.882216629	0.874737235
EMC_9_sMRM.wiff	WT_70_1	1.034841079	1.292415286	1.233582655	1.17075999	1.26935801	1.050730454	1.103535745	1.052673319	1.370461132	1.048148941	1.210198403	1.040383337	0.862804412	1.144512874	1.225045605	1	1.038127497	1.10066413	1.138144348	1.117231062	0.961782244	1.150565071	1.200353298	1.348319426	1.150727732	1.127650926	1.298053576	1.152387621	1.128236371	1.039453783	0.852159133	1.002938481	1.171786199
EMC_10_sMRM.wiff	WT_70_2	1.116289361	1.259392926	1.187314528	1.127910247	1.206657549	1.135849932	1.092375945	1.115554373	1.103151467	1.077141121	1.173546208	1.006643775	0.961275116	1.21520399	1.219182042	1	0.983691251	1.072023027	1.098624634	1.171703615	0.974711551	1.146495045	1.145570635	1.365471387	1.090173312	1.036842927	1.294877119	1.263632215	1.111311701	1.043902735	1.079572123	1.115718533	1.189659404
EMC_11_sMRM.wiff	L17_70_1	1.322177777	1.307591031	1.189511521	1.214813647	1.131965786	1.139309206	1.021755299	0.888771876	1.238770369	1.096474502	1.408096764	1.188824484	0.936233575	1.197611899	1.413905376	1	0.996828084	1.084345538	0.967978498	1.220957163	1.065997254	1.055958218	1.221440157	1.18712913	1.041427889	1.104991528	1.219518466	0.943855313	1.181939853	1.069032209	0.876234042	1.022011308	1.036400143
EMC_12_sMRM.wiff	L17_70_2	1.246717274	1.283692138	1.127533219	1.215894879	1.161356859	1.103335064	1.025141517	0.867125583	1.583384301	1.0979768	1.248452649	1.150343487	0.906598291	1.215562536	1.273339017	1	0.924007446	1.036599313	0.9114314	1.239619945	1.013517352	1.037568481	1.077583282	1.04823534	0.947459907	1.017301754	1.073447988	0.886449048	1.148666779	1.02244695	0.918425606	1.040887493	1.003042162
