Fraction	Files	DEAD	YJGA	RLUB	RHLE	YHBY	YIBL	SRMB	RNR	RSMA	RSMG	RLME	IF3	RBFA	RSMC	RLUD	RIMN	RSMI	RLMF	RLMN	RSME	RPOD	RNB	RNE	RSUA	RIMM	RLUF	SRP54	RRAA	YDIJ	RSGA	RIMO	DER	OBG	HPF	RPOZ	RIMJ	RLPA	RNPH	RNC	RPOA	RPOB	RPOC	YBHC	SYFB	FKBA	RRF	NUSA	IF2	IF1	EFTS	CH10	CH60	RF3	PNP	TIG	CSPC	DNAK	GRPE	EFP	EFTU2	DUT	CSPG	CSPA	DNAJ	RLMM	RF1	RELA	RLMI	AHPF	TSAC	RLMKL	RNG	RF2	RHLB	YIHI	FKBB	RSMH	RSMB	RLMH	RSMF	RLUC	RLMG	SSRP	RLMC
Restrictive_-1	FG-SW-1	0.822370637	0.262133045	0.754098136	1.036244694	0.144507625	0.497421545	0.652696261	1.824662599	1.484956472	0.642541146	0.735056723	2.2832177	1.114439785	0.848433421	0.068215508	0.083065178	0.109188025	0.204146415	0.153152362	0.163023858	0.279598103	0.160283433	0.098606329	0.060465578	0.239639432	0.142063385	0.187408002	0.312392539	0.16007948	0.104253109	0.224154763	0.153785104	0.146558326	0.09613319	0.130465779	0.093156964	0.085237502	0.109342745	0.19151836	0.240214419	0.195322612	0.171055017	0.052802812	0.050882232	0.037895831	0.05887092	0.056201873	0.037390464	0.035797264	0.046103626	0.042441478	0.035957169	0.050528794	0.082502791	0.025301605	0.040880109	0.018579591	0.019566767	0.013688292	0.011828162	0.048970416	0.222272516	0.222272516	0.803033608	0.468389522	0.314390611	0.137628079	0.277268925	0.283387381	0.162627707	0.135713277	0.170785252	0.330648186	0.21446115	0.772123546	0.402102387	0.221615198	0.135359116	0.134776482	0.082474227	0.271977341	0.158363342	0.115129463	0.095797372
Restrictive_0	FG-SW-2	0.609039051	0.189183162	0.354015471	0.936891809	1.068051949	0.119562246	0.714966144	0.953743812	0.314879342	0.597927033	0.357144371	1.505637102	1.566299823	1.003950861	0.923011705	0.204554402	0.328414799	0.182165523	0.404188546	0.096408971	0.096560493	0.153978641	0.116852741	0.052344398	0.148855238	0.255111048	0.382549591	0.416767849	0.118672698	0.231445104	0.186702801	0.061021827	0.149581728	0.285942811	0.301618731	0.139858032	0.022614157	0.10709033	0.131759393	0.160327013	0.133448872	0.127805832	0.025309223	0.085734333	0.058009795	0.034257411	0.054739261	0.04670271	0.041498666	0.073644506	0.038551452	0.036591328	0.128451442	0.056028202	0.032815857	0.024825784	0.019694566	0.036092732	0.024459627	0.014830502	0.152027038	0.017927319	0.017927319	0.176787824	0.611464187	0.296332994	0.224919094	0.402821895	0.22821061	0.4181432	0.340152629	0.459846586	0.161121947	0.111446405	0.382310187	0.083792159	0.122492234	0.400248336	0.717914439	0.13583127	0.66780211	0.198378186	0.101624394	0.406282351
Restrictive_1	FG-SW-3	0.560418849	0.317044227	0.456622665	0.801884707	0.194697996	0.742864098	0.923107729	1.131149836	0.334612638	0.582725778	0.234645167	0.834267071	0.881382899	0.243869465	0.156816954	0.109806717	0.144867988	0.115450352	0.121422644	0.198017087	0.180859733	0.191473579	0.168906214	0.32802347	0.140905362	0.068898709	0.112917497	0.226322088	0.09510394	0.190327204	0.211885378	0.350603852	0.239484494	0.048969416	0.067262952	0.071040154	0.243352784	0.171819198	0.132979766	0.190931074	0.101656177	0.088407049	0.059225215	0.060754726	0.111792635	0.045448303	0.044329446	0.040359622	0.032187458	0.029947314	0.089402058	0.039158025	0.062084452	0.085666751	0.047910696	0.034579494	0.01794894	0.018200249	0.012918236	0.009736902	0.24449621	0.745264577	0.745264577	0.569371069	0.533142655	0.5428113	0.204757142	0.313170409	0.23712031	0.212809076	0.406904907	0.15555287	0.451607897	0.305017478	0.246748825	0.21626069	0.491001436	0.260634651	0.231372184	1.197566067	0.247164709	0.835266471	0.16440666	0.717755371
Restrictive_2	FG-SW-4	0.638601572	0.237271581	0.38511688	0.948520494	0.198217484	1.462420465	1.179065397	1.042390009	1.615442694	0.631047966	0.553890879	0.442115297	0.57983021	0.178287044	0.188813775	0.153004292	0.19453335	0.162603303	0.114090992	0.164362263	0.122758566	0.13358136	0.191402621	0.100278625	0.066756509	0.096241892	0.164888132	0.2111818	0.116614645	0.278764135	0.260701585	0.143899476	0.129140688	0.141819543	0.137254834	0.050876935	0.08716198	0.09717149	0.092065666	0.130323221	0.117400753	0.076680224	0.04072795	0.057255379	0.099823638	0.050281199	0.046570563	0.044374397	0.042894757	0.070386463	0.044585075	0.032108227	0.083859786	0.110442768	0.02657172	0.025447901	0.022064236	0.018578255	0.019815294	0.009834308	0.137415472	0.080415932	0.080415932	0.292695515	0.384499624	0.323434667	0.259009499	0.32788304	0.243040231	0.283127046	0.237669966	0.276201715	0.322587611	0.246429231	0.27358419	0.27518462	0.308847776	0.198534947	0.370786728	0.390519614	0.257519885	0.090810967	0.157286216	0.908676473
Restrictive_3	FG-SW-5	0.780398424	0.236152128	0.494267484	0.572756202	0.280656807	1.166699722	1.096106936	1.467606944	0.451971795	0.038591218	0.764401009	0.227290596	0.348208531	0.115310062	0.078664149	0.07410903	0.105069918	0.059102587	0.120682059	0.225610738	0.188267838	0.130550103	0.124050706	0.085008165	0.08446269	0.156057832	0.163554329	0.166438932	0.103988303	0.143123479	0.17316441	0.144598598	0.117788164	0.096095174	0.096044191	0.068910141	0.041493955	0.189394909	0.127888575	0.072576653	0.065344754	0.058588622	0.053579855	0.035965152	0.060924545	0.040074234	0.029618097	0.026705195	0.03287043	0.041577843	0.041293149	0.032083997	0.041579083	0.091408601	0.019563612	0.024521752	0.013256399	0.013598496	0.011797156	0.006792181	0.035997689	0.092752243	0.092752243	0.292684554	0.343406327	0.264122371	0.101822332	0.606207653	0.41056055	0.203822489	0.1274302	0.150444365	0.170876541	0.23360764	0.254394742	0.192097815	0.258332947	0.129265635	0.288594405	0.056414282	0.242934392	0.095366843	0.15125528	1.449498961
Restrictive_4	FG-SW-6	1.529173412	0.239516368	0.653720264	0.530956076	0.486931222	1.536901967	1.233034392	1.61783258	0.254390304	0.391523667	0.779242061	0.151793243	0.340726748	0.148057722	0.069590306	0.083305576	0.103228208	0.069373928	0.086911133	0.059694832	0.130792275	0.199473915	0.153663877	0.11872961	0.13721755	0.099266868	0.103875327	0.135831423	0.097712481	0.205864903	0.158977618	0.139644222	0.162193311	0.057226448	0.080855689	0.100298746	0.052715923	0.065618148	0.089835154	0.108625406	0.069248006	0.061803797	0.048778824	0.048384358	0.042951468	0.027893909	0.029806487	0.034049998	0.011454327	0.038385229	0.019313009	0.026280899	0.032634388	0.05695013	0.018683946	0.017396409	0.014450158	0.013370482	0.011204316	0.009109023	0.066723933	0.755542157	0.755542157	0.238251762	0.377984771	0.383404056	0.178351693	0.247048374	0.257994367	0.171742192	0.129540046	0.199563884	0.210105648	0.156587355	0.280065597	0.234001171	0.238915509	0.099297257	0.222303088	0.122079487	0.21938563	0.266834559	0.102030054	1.082180804
Restrictive_5	FG-SW-7	2.775659314	0.525450821	0.777748999	1.153136003	0.6585723	1.562836692	1.226386673	1.445114546	0.825070234	0.384815227	1.173746017	0.09781388	0.340695245	0.081582173	0.118639182	0.152574511	0.148632709	0.186920333	0.173127557	0.111641332	0.15006555	0.10125061	0.104113148	0.133388081	0.105723473	0.115162106	0.159406587	0.201817734	0.118970584	0.180413863	0.205987897	0.156180961	0.133773403	0.06529446	0.102224949	0.111210391	0.063829317	0.081054173	0.082913288	0.088324197	0.078298197	0.064615893	0.027153725	0.057742168	0.038026194	0.047182907	0.022983408	0.043246955	0.045951629	0.046931739	0.0398339	0.026492316	0.056921448	0.049409945	0.017687707	0.0245358	0.018952905	0.013094428	0.008878099	0.007065196	0.032403	0.090379053	0.090379053	0.307718828	0.399263495	0.491338694	0.182188234	0.236680599	0.29379844	0.313999067	0.127843178	0.221474884	0.169993511	0.259688223	0.305016201	0.13255093	0.151431424	0.178624975	0.144681059	0.121019108	0.289912943	0.099336506	0.114127574	0.334617661
Restrictive_6	FG-SW-8	4.680934579	1.090960307	1.897895224	1.155343911	0.672157337	1.787366012	1.087363347	1.198022067	0.347738145	0.377041208	0.928494246	0.052715552	0.236777834	0.087423507	0.054906822	0.08066417	0.121578933	0.236921666	0.134197487	0.137929483	0.146283769	0.124727151	0.107286039	0.103769008	0.105184725	0.123844156	0.187671719	0.154281366	0.112264382	0.19286171	0.104503698	0.221159966	0.312263621	0.049036476	0.099356173	0.055278907	0.066267037	0.079015447	0.116249204	0.108165775	0.089393612	0.075255453	0.058065397	0.040857263	0.027411974	0.045372069	0.025728509	0.036213855	0.032586956	0.054518514	0.05716068	0.024244675	0.035989717	0.052346001	0.019752007	0.025845007	0.021306141	0.015931283	0.009958123	0.007753254	0.031803535	0.081051999	0.081051999	0.231754222	0.189548203	0.339850812	0.389164848	0.240032745	0.247608107	0.204553302	0.121036318	0.243955836	0.181162365	0.260076443	0.195630214	0.234175892	0.172827566	0.146814434	0.145340555	0.270707976	0.415180785	0.116490784	0.099330294	0.611844562
Restrictive_7	FG-SW-9	7.20089182	2.902880309	3.62933402	2.767029141	0.672275645	1.646224137	1.056673176	0.934364744	0.345330183	0.814839135	0.724905832	0.064062825	0.530664274	0.127252013	0.150911905	0.164039553	0.166915527	0.117076882	0.203847894	0.179190283	0.210267672	0.160980434	0.170195794	0.175750033	0.046983736	0.267164051	0.327376552	0.266601844	0.153418804	0.192627792	0.278020508	0.126644142	0.166019056	0.208949224	0.138653193	0.112627933	0.073181524	0.078209224	0.115552881	0.166714337	0.141990738	0.107819086	0.040747314	0.058207223	0.074986939	0.058498561	0.048045694	0.038487415	0.051750153	0.047290753	0.055963093	0.031372306	0.090830083	0.065826673	0.026880203	0.021161258	0.020382872	0.022869777	0.026861828	0.009459436	0.03665995	0.057289558	0.057289558	0.379647279	0.495658466	0.342081804	0.446159392	0.213272896	0.262050403	0.302456658	0.140245454	0.316154181	0.247253733	0.361512349	0.282555922	0.231025152	0.184716534	0.144521522	0.275527397	0.212246462	0.263485285	0.127981978	0.111349253	0.129419762
Restrictive_8	FG-SW-10	8.116360886	2.4602121	2.939025871	2.596479767	1.839709021	1.235120164	0.843605835	0.671416001	0.32018716	0.696678797	0.564965851	0.058316188	0.372435361	0.233947027	0.122408519	0.488220451	0.266615641	0.314810569	0.348837576	0.121971262	0.205870179	0.181008636	0.22544482	0.129473035	0.057159019	0.600494189	0.305560046	0.356880355	0.27776226	0.330410467	0.241942662	0.109992282	0.172580663	0.124630113	0.181599691	0.065340157	0.156266254	0.141083532	0.092419654	0.159934111	0.159992099	0.135557083	0.066075404	0.106469212	0.057765443	0.059184216	0.056186995	0.056601438	0.058991753	0.095013153	0.035759716	0.032715674	0.126094036	0.055045205	0.033804136	0.019866083	0.02072073	0.084541824	0.020973972	0.006528505	0.143335922	0.038284491	0.038284491	0.205345227	0.614547315	0.321408846	0.338317667	0.410044361	0.391577443	0.263580972	0.344130315	0.646809925	0.196450074	0.289750215	0.171698749	0.181337465	0.076004165	1.126410352	0.9136514	0.052699122	0.965115221	0.106842459	0.092337038	0.177245263
